id,table_name,primary_id,desc,date_created,session_id,terminal_session_id,created_on,modified_on
70910,order_checks,18701,Receipt,"2025-06-25 14:25:46",268,269,"2025-06-25 14:25:46","2025-06-25 14:25:46"
70909,order_checks,18702,Receipt,"2025-06-25 14:17:59",268,269,"2025-06-25 14:17:59","2025-06-25 14:17:59"
70908,order_checks,18703,Receipt,"2025-06-25 14:13:25",268,269,"2025-06-25 14:13:25","2025-06-25 14:13:25"
70907,order_checks,18704,Receipt,"2025-06-25 14:06:48",268,269,"2025-06-25 14:06:48","2025-06-25 14:06:48"
70906,order_checks,18703,Receipt,"2025-06-25 14:02:38",268,269,"2025-06-25 14:02:38","2025-06-25 14:02:38"
70905,order_checks,18700,Receipt,"2025-06-25 13:59:18",268,269,"2025-06-25 13:59:18","2025-06-25 13:59:18"
70904,order_checks,18699,Receipt,"2025-06-25 13:58:12",268,269,"2025-06-25 13:58:12","2025-06-25 13:58:12"
70903,order_checks,18696,Receipt,"2025-06-25 13:45:41",268,269,"2025-06-25 13:45:41","2025-06-25 13:45:41"
70902,order_checks,18697,Receipt,"2025-06-25 13:42:59",268,269,"2025-06-25 13:42:59","2025-06-25 13:42:59"
70901,order_checks,18699,Receipt,"2025-06-25 13:30:08",268,269,"2025-06-25 13:30:08","2025-06-25 13:30:08"
70900,order_checks,18702,Receipt,"2025-06-25 13:23:02",268,269,"2025-06-25 13:23:02","2025-06-25 13:23:02"
70899,order_checks,18698,Receipt,"2025-06-25 13:17:43",268,269,"2025-06-25 13:17:43","2025-06-25 13:17:43"
70898,order_checks,18697,Receipt,"2025-06-25 13:14:51",268,269,"2025-06-25 13:14:51","2025-06-25 13:14:51"
70897,order_checks,18702,Receipt,"2025-06-25 13:10:27",268,269,"2025-06-25 13:10:27","2025-06-25 13:10:27"
70896,order_checks,18695,Receipt,"2025-06-25 13:08:50",268,269,"2025-06-25 13:08:50","2025-06-25 13:08:50"
70895,order_checks,18701,Receipt,"2025-06-25 13:04:24",268,269,"2025-06-25 13:04:24","2025-06-25 13:04:24"
70894,order_checks,18700,Receipt,"2025-06-25 12:59:50",268,269,"2025-06-25 12:59:50","2025-06-25 12:59:50"
70893,order_checks,18699,Receipt,"2025-06-25 12:52:51",268,269,"2025-06-25 12:52:51","2025-06-25 12:52:51"
70892,order_checks,18695,Receipt,"2025-06-25 12:51:18",268,269,"2025-06-25 12:51:18","2025-06-25 12:51:18"
70891,order_checks,18696,Receipt,"2025-06-25 12:50:58",268,269,"2025-06-25 12:50:58","2025-06-25 12:50:58"
70890,order_checks,18694,Receipt,"2025-06-25 12:46:28",268,269,"2025-06-25 12:46:28","2025-06-25 12:46:28"
70889,order_checks,18693,Receipt,"2025-06-25 12:40:19",268,269,"2025-06-25 12:40:19","2025-06-25 12:40:19"
70888,order_checks,18693,Receipt,"2025-06-25 12:40:16",268,269,"2025-06-25 12:40:16","2025-06-25 12:40:16"
70887,order_checks,18698,Receipt,"2025-06-25 12:37:16",268,269,"2025-06-25 12:37:16","2025-06-25 12:37:16"
70886,order_checks,18697,Receipt,"2025-06-25 12:36:47",268,269,"2025-06-25 12:36:47","2025-06-25 12:36:47"
70885,order_checks,18697,Receipt,"2025-06-25 12:36:42",268,269,"2025-06-25 12:36:42","2025-06-25 12:36:42"
70884,order_checks,18691,Receipt,"2025-06-25 12:31:08",268,269,"2025-06-25 12:31:08","2025-06-25 12:31:08"
70883,order_checks,18693,Receipt,"2025-06-25 12:19:28",268,269,"2025-06-25 12:19:28","2025-06-25 12:19:28"
70882,order_checks,18695,Receipt,"2025-06-25 12:19:17",268,269,"2025-06-25 12:19:17","2025-06-25 12:19:17"
70881,order_checks,18696,Receipt,"2025-06-25 12:18:31",268,269,"2025-06-25 12:18:31","2025-06-25 12:18:31"
70880,order_checks,18692,Receipt,"2025-06-25 12:09:30",268,269,"2025-06-25 12:09:30","2025-06-25 12:09:30"
70879,order_checks,18695,Receipt,"2025-06-25 12:06:57",268,269,"2025-06-25 12:06:57","2025-06-25 12:06:57"
70878,order_checks,18693,Receipt,"2025-06-25 11:54:00",268,269,"2025-06-25 11:54:00","2025-06-25 11:54:00"
70877,order_checks,18694,Receipt,"2025-06-25 11:42:34",268,269,"2025-06-25 11:42:34","2025-06-25 11:42:34"
70876,order_checks,18692,Receipt,"2025-06-25 11:37:51",268,269,"2025-06-25 11:37:51","2025-06-25 11:37:51"
70875,order_checks,18693,Receipt,"2025-06-25 11:26:04",268,269,"2025-06-25 11:26:04","2025-06-25 11:26:04"
70874,order_checks,18692,Receipt,"2025-06-25 11:25:04",268,269,"2025-06-25 11:25:04","2025-06-25 11:25:04"
70873,order_checks,18691,Receipt,"2025-06-25 11:24:11",268,269,"2025-06-25 11:24:11","2025-06-25 11:24:11"
70872,terminals,268,"terminal report print","2025-06-25 09:11:29",268,269,"2025-06-25 09:11:29","2025-06-25 09:11:29"
70871,terminals,267,"terminal report print","2025-06-25 09:10:46",268,269,"2025-06-25 09:10:46","2025-06-25 09:10:46"
70870,terminals,268,"terminal report print","2025-06-24 20:39:34",267,268,"2025-06-24 20:39:34","2025-06-24 20:39:34"
70869,cash_tray_sessions,268,"cash tray report print","2025-06-24 20:38:36",267,268,"2025-06-24 20:38:36","2025-06-24 20:38:36"
70868,order_checks,18688,Receipt,"2025-06-24 20:27:36",267,268,"2025-06-24 20:27:36","2025-06-24 20:27:36"
70867,order_checks,18686,Receipt,"2025-06-24 20:26:46",267,268,"2025-06-24 20:26:46","2025-06-24 20:26:46"
70866,order_checks,18690,Receipt,"2025-06-24 20:23:17",267,268,"2025-06-24 20:23:17","2025-06-24 20:23:17"
70865,order_checks,18686,Receipt,"2025-06-24 20:15:36",267,268,"2025-06-24 20:15:36","2025-06-24 20:15:36"
70864,order_checks,18690,Receipt,"2025-06-24 20:15:26",267,268,"2025-06-24 20:15:26","2025-06-24 20:15:26"
70863,order_checks,18688,Receipt,"2025-06-24 20:15:18",267,268,"2025-06-24 20:15:18","2025-06-24 20:15:18"
